i need to book a table at a food court in nh that serves smelt	O O O O O O O O B-restaurant_type I-restaurant_type O B-state O O B-served_dish
find a highly rated brasserie restaurant in liberia and book a table for 5	O O B-sort I-sort B-restaurant_type I-restaurant_type O B-country O O O O O B-party_size_number
book a spot for six at a restaurant that serves fish and chips	O O O O B-party_size_number O O B-restaurant_type O O B-served_dish I-served_dish I-served_dish
please make a reservation at ten at a bakery which serves burrito	O O O O O B-party_size_number O O B-restaurant_type O O B-served_dish
book red crown tourist court now for ten not far from tin city	O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name B-timeRange O B-party_size_number B-spatial_relation I-spatial_relation O B-city I-city
book me a restaurant for me geneva and wilda for now in blacksville	O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange O B-city
make me a reservation in colorado at nine am at national cash register building	O O O O O B-state O B-timeRange I-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
get me a highly rated restaurant in nigeria	O O O B-sort I-sort B-restaurant_type O B-country
book something for darlene tessa and maxine at a restaurant for 09:58:27	O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-timeRange
book a spot at a soul food food truck in cawker city	O O O O O B-served_dish I-served_dish B-restaurant_type I-restaurant_type O B-city I-city
book a taverna for a party of 10	O O B-restaurant_type O O O O B-party_size_number
book a table for one at a highly rated bistro	O O O O B-party_size_number O O B-sort I-sort B-restaurant_type
book a spot for seven at a japanese joint in grandview heights	O O O O B-party_size_number O O B-cuisine B-restaurant_type O B-city I-city
book for jessie dale wright and lupe at a bistro on feb 20 2040	O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-timeRange I-timeRange I-timeRange
book a caucasian serving steakhouse for 4 in saint pierre and miquelon	O O B-cuisine O B-restaurant_type O B-party_size_number O B-country I-country I-country I-country
book for crepes at a restaurant in sint maarten	O O B-served_dish O O B-restaurant_type O B-country I-country
please book a restaurant for nine members on august 25 in dc	O O O B-restaurant_type O B-party_size_number O O B-timeRange I-timeRange O B-state
book a spot at a crab restaurant	O O O O O B-served_dish B-restaurant_type
can you get me seating for 5 at a highly rated restaurant in wisconsin	O O O O O O B-party_size_number O O B-sort I-sort B-restaurant_type O B-state
book a highly rated bar in curacao for one	O O B-sort I-sort B-restaurant_type O B-country O B-party_size_number
book me a reservation for ad hoc in brazil for a party of 7	O O O O O B-restaurant_name I-restaurant_name O B-country O O O O B-party_size_number
please book a bar type goiano room accommodate for 2 members 1 second from now in pr	O O O B-restaurant_type O B-cuisine O O O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange O B-state
find me a table at a european bar for six in the neighboring downtown area	O O O O O O B-cuisine B-restaurant_type O B-party_size_number O O B-spatial_relation B-poi B-spatial_relation
i need to book a restaurant for 6 people	O O O O O B-restaurant_type O B-party_size_number O
make me a reservation at a popular place that serves udupi at a restaurant	O O O O O O B-sort O O O B-cuisine O O B-restaurant_type
book a restaurant for 2 that has internet	O O B-restaurant_type O B-party_size_number O O B-facility
find a reservation for six at a top-rated brasserie	O O O O B-party_size_number O O B-sort B-restaurant_type
book helianthushof in hurffville nj	O B-restaurant_name O B-city B-state
i d like to eat salads at a restaurant	O O O O O B-served_dish O O B-restaurant_type
i need to book a restaurant for five in 1 minute that serves chichi in east prairie	O O O O O B-restaurant_type O B-party_size_number B-timeRange I-timeRange I-timeRange O O B-served_dish O B-city I-city
i d like a table at the san francisco brewing company in puerto rico at noon	O O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-state I-state O B-timeRange
book a spot for 3 at supper time in il	O O O O B-party_size_number O B-timeRange O O B-state
book a reservation for a gastropub serving liver and onions	O O O O O B-restaurant_type O B-served_dish I-served_dish I-served_dish
book in one hour within walking distance of a restaurant downtown	O B-timeRange I-timeRange I-timeRange B-spatial_relation I-spatial_relation I-spatial_relation O O B-restaurant_type B-poi
book a table for three at a restaurant in louisiana	O O O O B-party_size_number O O B-restaurant_type O B-state
at ten am i want to reserve a spot for 9 people to eat in monaco	O B-timeRange I-timeRange O O O O O O O B-party_size_number O O O O B-country
set me up with a table at a bar with salade for 5	O O O O O O O O B-restaurant_type O B-served_dish O B-party_size_number
please book me a table for 6 people at top of the mark in raleigh hills kentucky	O O O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city B-state
make a reservation for 8 at a diner that serves haystack	O O O O B-party_size_number O O B-restaurant_type O O B-served_dish
i would like to book a donut serving delicatessen in cuba for 5 on april eleventh	O O O O O O B-served_dish O B-restaurant_type O B-country O B-party_size_number O B-timeRange I-timeRange
i need a reservation for red square on aug the 9th	O O O O O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange
i d like seats for one at a restaurant in 1 hour at a place in la madera that has parking	O O O O O B-party_size_number O O B-restaurant_type B-timeRange I-timeRange I-timeRange O O O O B-city I-city O O B-facility
i need a reservation for arcadian court on june the fifth 2035	O O O O O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange I-timeRange
i need a party of 4 to get a table reserved at a pub with southeastern cuisine	O O O O O B-party_size_number O O O O O O O B-restaurant_type O B-cuisine O
find a reservation for a highly rated steakhouse in china for a party of five at 05:51:52	O O O O O B-sort I-sort B-restaurant_type O B-country O O O O B-party_size_number O B-timeRange
can you get me a reservation at wwe the world around av u	O O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name B-spatial_relation B-poi I-poi
book at dutchess manor in portugal for 6	O O B-restaurant_name I-restaurant_name O B-country O B-party_size_number
make a reservation at a tavern which serves clam cake for a party of 8 in western sahara	O O O O O B-restaurant_type O O B-served_dish I-served_dish O O O O B-party_size_number O B-country I-country
book a table on 6/14/2035 at a bakery within walking distance of equatorial guinea that serves paella	O O O O B-timeRange O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation O B-country I-country O O B-served_dish
i want to book a restaurant for a year from now in maine	O O O O O B-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange O B-state
book me a reservation at a highly rated tavern in hornersville	O O O O O O B-sort I-sort B-restaurant_type O B-city
book a restaurant this year in manning	O O B-restaurant_type B-timeRange I-timeRange O B-city
book the coon chicken inn in baker city for 4 people	O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city O B-party_size_number O
i want to book a reservation within the same area of amelia court house for 4	O O O O O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-city I-city I-city O B-party_size_number
i would like to book thomas hynes house for 6 in minnesota	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number O B-state
book a restaurant for marcella erma and leanne rivera	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
i need a reservation for a party of ten in algeria	O O O O O O O O B-party_size_number O B-country
book a meal for four in dc	O O B-timeRange O B-party_size_number O B-state
my brother in law and i would like to go to guinea-bissau for food	B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-country O O
book the best halal restaurant in slovakia for brigitte taylor katelyn and natalie on jun 2	O O B-sort B-cuisine B-restaurant_type O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange
book a restaurant this year in pagosa junction for a romanian stle cusine for a party of two	O O B-restaurant_type B-timeRange I-timeRange O B-city I-city O O B-cuisine O O O O O O B-party_size_number
book a popular brasserie in roads end	O O B-sort B-restaurant_type O B-city I-city
book a reservation for five people at a restaurant with pool in benkelman mi in apr	O O O O B-party_size_number O O O B-restaurant_type O B-facility O B-city B-state O B-timeRange
book a table for seven people at a restaurant which has internet	O O O O B-party_size_number O O O B-restaurant_type O O B-facility
book a restaurant for nine in south sudan	O O B-restaurant_type O B-party_size_number O B-country I-country
