i want to fly from baltimore to dallas round trip	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
can you show me flights that are economy class from baltimore to dallas	O O O O O O O B-economy I-economy O B-fromloc.city_name O B-toloc.city_name
what flights from st. paul to kansas city on friday with a meal	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O O B-meal
flights from montreal and phoenix to las vegas	O O B-fromloc.city_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me the southwest airlines flights from san diego to san francisco	O O O B-airline_name I-airline_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what are the prices of these flights	O O O O O O O
i would like to fly from boston to baltimore please tell me what are the times of the flights	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O B-flight_time O O O
can i see ground transportation from long beach airport to downtown	O O O O O O B-fromloc.city_name I-fromloc.city_name O O O
show me flights from atlanta to baltimore	O O O O B-fromloc.city_name O B-toloc.city_name
i want a flight from pittsburgh to los angeles that departs after 6 pm on thursday	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.day_name
i'd like a first class flight from denver to baltimore on january first	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
flight on monday from philadelphia to oakland california early morning	O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name B-depart_time.period_of_day B-depart_time.period_of_day
first class fares from dallas to baltimore please	B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name O
i would like information on flights from san francisco to pittsburgh leaving after 8 pm monday night	O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time B-depart_date.day_name B-depart_time.period_of_day
show me the price of all flights from atlanta to washington dc	O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code
what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco with a dallas stopover	O O O O O O O O B-class_type I-class_type B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name O
on flight us air 2153 from san francisco to baltimore what time and what city does the plane stop in between	O O B-airline_name I-airline_name B-flight_number O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-flight_time O O O O O O O O O
show me all flights out of boston on june twentieth that have business class	O O O O O O B-fromloc.city_name O B-depart_date.month_name B-depart_date.day_number O O B-class_type I-class_type
how many flights arrive at general mitchell international	O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name
i'd like to know if you have any flights from denver to philadelphia	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name
round trip flights from salt lake city to cincinnati nonstop flights if possible	B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-flight_stop O O O
what flights go from dallas to san francisco before 6 o'clock sunday afternoon	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time B-depart_date.day_name B-depart_time.period_of_day
show me the earliest flight from denver to las vegas	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
delta flights from san francisco please	B-airline_name O O B-fromloc.city_name I-fromloc.city_name O
show me a list of flights from boston to atlanta leaving after noon and arriving before 7 pm	O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
leaving washington going to san francisco the latest flight	O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name O B-flight_mod O
please give me the cheapest flight from denver to pittsburgh	O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
i would like information on flights from oakland california to dallas leaving on sunday morning	O O O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day
what airlines fly from new york to milwaukee to los angeles	O O O O B-fromloc.city_name I-fromloc.city_name O B-stoploc.city_name O B-toloc.city_name I-toloc.city_name
what are the afternoon flights between washington and boston	O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
please give me flight schedules from pittsburgh to philadelphia	O O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name
does american airlines fly from boston to san francisco	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
please give me flight schedules from baltimore to philadelphia	O O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name
are there any nonstop flights leaving from dallas to baltimore july seventh with who united airlines	O O O B-flight_stop O O O B-fromloc.city_name O B-toloc.city_name B-arrive_date.month_name B-arrive_date.day_number O O B-airline_name I-airline_name
from denver to pittsburgh on april twenty first i need the cheapest flight	O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O O B-cost_relative O
what is the earliest flight from boston to washington	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
what are my choices of flights to get from charlotte to minneapolis arriving about 7 pm in minneapolis	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-toloc.city_name
what flights leave from newark to los angeles in the afternoon	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_of_day
i'd like to find a flight between dallas and philadelphia	O O O O O O O B-fromloc.city_name O B-toloc.city_name
what is the cheapest way to travel round trip from milwaukee to san francisco	O O O B-cost_relative O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me the airlines	O O O O
is there any flight leaving washington around 3 o'clock for denver	O O O O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-toloc.city_name
what flights available between pittsburgh and baltimore on august eleventh	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
what does restriction ap 57 mean	O O O B-restriction_code I-restriction_code O
flights from newark to boston	O O B-fromloc.city_name O B-toloc.city_name
show flights leaving boston on wednesday morning and arriving in denver	O O O B-fromloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O O O B-toloc.city_name
on july twenty third all flights on american airlines from philadelphia to san francisco	O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i'd like to fly from denver to pittsburgh to atlanta could you find me the cheapest way to do this	O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name O O O O O B-cost_relative O O O O
what's the cheapest round trip fare between boston and washington	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
nonstop flights from new york city to las vegas on sunday	B-flight_stop O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_date.day_name
display all flights from st. petersburg and charlotte flights should leave after noon arrive after 5 pm nonstop flight	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-depart_time.time_relative B-depart_time.time O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-flight_stop O
show me all daily flights between milwaukee and orlando	O O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name
find me a flight from boston to san francisco with a layover in denver	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
how much does it cost to fly eastern airlines from atlanta to boston	O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name
i would like to fly from boston to denver early in the morning	O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.period_mod O O B-depart_time.period_of_day
list all the flights from charlotte to atlanta that return around 7 pm	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
i need a listing of flights from kansas city missouri to salt lake city utah	O O O O O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.state_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-toloc.state_name
i'd like a flight from detroit to st. petersburg for tuesday	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
show me the airlines that fly from denver to san francisco	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what flights are available from boston to denver	O O O O O B-fromloc.city_name O B-toloc.city_name
what flights do you have between pittsburgh and atlanta	O O O O O O B-fromloc.city_name O B-toloc.city_name
i want to arrive in detroit around 6 pm and i'm leaving from chicago	O O O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O O O B-fromloc.city_name
show me what flights are available from baltimore to dallas with economy fares	O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-economy O
show me the most expensive one way flight from detroit to westchester county	O O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
round trip fare from baltimore to philadelphia less than 1000 dollars	B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount
which airlines fly from toronto to san diego and have a stopover in denver	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-stoploc.city_name
what are the coach fares from charlotte to la wednesday night	O O O B-class_type O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day
could you tell me what the abbreviation us stands for	O O O O O O O B-airline_code O O
could you give me a flight between pittsburgh and philadelphia	O O O O O O O B-fromloc.city_name O B-toloc.city_name
show me the flights from san diego to newark	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
